,tweets,words,
25107," no journey to the center of the tardis na chave tava gravado \smiths\""",journey center tardis na chave tava gravado smiths em crimson horror doctor clara se passam por sr sra smith,Non-Medical
25108, Hospital in the morning! Might tell me why I'm struggling to breathe!,hospital morning tell struggling breathe,Non-Medical
25109, @DrAbdulWakil sir just hav a look at wazurabad cardiac center n lodhran general Hospital projects of pervaiz ellahi era whch are still pndng,sir hav look wazurabad cardiac center lodhran hospital projects pervaiz ellahi era whch pndng,Non-Medical
25110, Doctor Kermit Gosnell found guilty of murdering infants in late-term abortions | Fox News http://t.co/et3olSHN50 @patriciaheaton,doctor kermit gosnell found guilty murdering infants lateterm abortions fox news,Non-Medical
25112, Lekker gekuier saam met @Tash8705 ! Laughing for days!! Just what the doctor ordered ? much love homegurl! See you soon! Xxx,lekker gekuier saam met laughing days doctor love homegurl soon xxx,Non-Medical
25113, WHAT THE DOCTOR'S DAUGHTER?!?! OMG WHAT,doctors daughter omg,Non-Medical
25114, Nothing else sounds right... Doctor Klier? No. Professor Klier? No. Author Josh Klier? No.,else sounds doctor klier professor klier author josh klier,Non-Medical
25117," WHO DO YOU KNOW?!   A growing Dallas hospital looking for Contract analysts, Medicare and Medicaid Patient Account Reps, Cash Posters, and …",growing dallas hospital looking contract analysts medicare medicaid patient account reps cash posters …,Non-Medical
25120," Richard: What the hell is this? Oh this is not ok, I have a hospital to run. And Derek, what the hells the matter with you man?",richard hell oh ok hospital run derek hells matter,Non-Medical
25121," I have to take my Child, Mother, Grandparent, to the Doctor, Lawyer, Dentist, Motor Vehicle Dept, Social Security Office, shopping....",child mother grandparent doctor lawyer dentist motor vehicle dept social security office shopping,Non-Medical
25123, You might want to go to the doctor for that TARDIS in your eye,doctor tardis eye,Non-Medical
25124, Doctor Who or UHC... decisions decisions,doctor uhc decisions decisions,Non-Medical
25127, @theHindude started out in scarborough general hospital now he here,started scarborough hospital,Non-Medical
25128, That was without a doubt one of the best eps of doctor who for a long time!,doubt eps doctor time,Non-Medical
25129, I unlocked the Doctor Who Countdown to the Season Finale: 4 Days sticker on #GetGlue! http://t.co/n8uVvg2ig3,unlocked doctor countdown season finale days sticker #getglue,Non-Medical
25130, my poor baby! rushing mocha to the animal hospital!,poor baby rushing mocha animal hospital,Non-Medical
25131, $UTMD - Utah Medical Stock Analysis - best day trading blogs - http://t.co/xcLBHxjAC6,utmd utah medical stock analysis day trading blogs,Non-Medical
25134, Can you be my doctor? Can you fix me up?,doctor fix,Non-Medical
25138, Headline: Philadelphia abortion doctor found guilty of first-degree murder http://t.co/x9k8DE3PcK,headline philadelphia abortion doctor found guilty firstdegree murder,Non-Medical
25139, @EmilyChesebro I'm just going to the hospital to see my friend who just had a baby today and then I'll be on all night,hospital friend baby ill night,Non-Medical
25142, @TrisSixFears *nods* I-I found birth control pills and those letters in your jacket after we brought Max home from the hospital,nods ii found birth control pills letters jacket brought max home hospital,Non-Medical
25144, Fuck this Doctor .,fuck doctor,Non-Medical
25145," Just got my hospital bill, and it went from $6000 to $800! Thank God!!!!!!",hospital bill thank god,Non-Medical
25147, RT @nprnews Convicted Philadelphia Abortion Doctor Gets Life In Prison http://t.co/pZLjDkrAKN,convicted philadelphia abortion doctor life prison,Non-Medical
25148, Amazing medical helicopter landing right on the guardrail. http://t.co/dfpjhI2WKa,amazing medical helicopter landing guardrail,Non-Medical
25149," 'Doctor Who' video: David Tennant, Catherine Tate and John Barrowman perform 'The Ballad of Russell and Julie' - http://t.co/aLCP1v6wOH",doctor video david tennant catherine tate john barrowman perform ballad russell julie,Non-Medical
25150, I need a doctor..call me a doctor.,doctorcall doctor,Non-Medical
25156," grow a beard &amp; the transformation is complete!! The bowab is now the ‘learned‘ Shiekh &amp; the doctor tends the wounded coordinates {u'type': u'Point', u'coordinates': [29.9542501, 31.2358797]}",grow beard transformation complete bowab ‘learned‘ shiekh doctor tends wounded,Non-Medical
25157, 50th anniversary! http://t.co/lcEiFtAxJb,anniversary,Non-Medical
25160," Damn RT @cnnbrk: Life in prison for Kermit Gosnell, abortion doctor convicted of murder. http://t.co/zUMtQCQL28",damn life prison kermit gosnell abortion doctor convicted murder,Non-Medical
25162, THIS freakin Saturday I think we find out who the DOCTOR IS (doctor who) *dramatic music* CAN'T WAIT!!!! :'D,freakin saturday doctor doctor dramatic music ca wait,Non-Medical
25163, It's a dark day at the hospital http://t.co/XEC86T61Wy,dark day hospital,Non-Medical
25165," \...her young features hardening with all the detached composure of a seasoned ER doctor dealing with a crisis.\"" Guess who's back? #inferno""",features hardening detached composure seasoned er doctor dealing crisis guess whos #inferno,Non-Medical
25166, @Fugitive_Motel hope to see David in Doctor Who anniversary episode.:) And star trek starts only on 16th in here((have you seen it already?,hope david doctor anniversary episode star trek starts herehave seen,Non-Medical
25167," @EscalanteMaddie oh okay, maybe another day. Is your mom in the hospital or visiting?",oh okay maybe day mom hospital visiting,Non-Medical
25169, I unlocked the Doctor Who Countdown to the Season Finale: 4 Days sticker on #GetGlue! http://t.co/e31wBFHmBG,unlocked doctor countdown season finale days sticker #getglue,Non-Medical
25171, @StaypuftSD We're sorry you feel that way. Were you able to update your primary doctor or may we assist you with the change?  ^CS,sorry feel able update primary doctor assist change cs,Non-Medical
25172," I honestly can't understand y if I ask my mom to take me to the hospital, she wants to sit on her ass like she deaf or some shyt",honestly ca understand mom hospital sit ass deaf shyt,Non-Medical
25173," I literally just hauled ass through this hospital so I wouldn't be late. place <tweepy.models.Place object at 0x0292CEB0> coordinates {u'type': u'Point', u'coordinates': [-84.35294583, 33.90615262]}",literally hauled ass hospital late,Non-Medical
25174, An apple a day keeps the doctor away! https://t.co/Lpa8Tzofdf,apple day doctor httpstcolpa8tzofdf,Non-Medical
25175," \Time to get the kids home. Doctor?\"" \""Not actually ready to leave yet.\"" \""Why not?\"" \""Dunno. Reasons.\""""",time kids home doctor actually ready leave dunno reasons,Non-Medical
25176," Photo: wotcher-doctor: alwaysvotesaxon: squeetown: Jason Isaacs: I remember my very first day, I improvised... http://t.co/tUbzU1POEq",photo wotcherdoctor alwaysvotesaxon squeetown jason isaacs remember day improvised,Non-Medical
25177, doctor everyone thinks i'm any kind of liari are unable to feel!,doctor liari unable feel,Non-Medical
25178, Hospital smells like some serious B.O right now ! ????,hospital smells serious bo,Non-Medical
25179, “@BlondeInTheCity: @daleydoseofroe or when their family members are in the hospital....”lol yo...I HATE THAT.,family hospitallol yoi hate,Non-Medical
25180, My Medical Choice http://t.co/OwyWIf0m9U,medical choice,Non-Medical
25182, Ailing Aretha Franklin Cancels Two Upcoming Appearances On Doctor's Orders http://t.co/7JJiomfgeD,ailing aretha franklin cancels upcoming appearances doctors,Non-Medical
25183," I cannot possibly wish harder that the money that I'm spending today and tomorrow wasn't just on doctor crap. #$350 #wishIwasshopping place <tweepy.models.Place object at 0x0291F5D0> coordinates {u'type': u'Point', u'coordinates': [-90.391673, 38.23307131]}",possibly wish harder money spending tomorrow doctor crap #350 #wishiwasshopping,Non-Medical
25184," Such a lonnggg day followed by gym &amp; visiting at hospital so glad to be finally in my bed with a cuppa #RocknRoll ?? place <tweepy.models.Place object at 0x0291F750> coordinates {u'type': u'Point', u'coordinates': [-4.81469718, 55.9572087]}",lonnggg day followed gym visiting hospital glad finally bed cuppa #rocknroll,Non-Medical
25185, I'm sorry you might want to go to *THE DOCTOR* FOR THAT TARDIS IN YOUR EYE,sorry doctor tardis eye,Non-Medical
25187," - mann , why they got ta keep her in here ? these hospital people betta know what they doin .",mann ta hospital people betta doin,Non-Medical
25189, @kbenwaah I was negotiating with my doctor and he said he might let me play the last game though! and thanks!,negotiating doctor play game thanks,Non-Medical
25190, How doctor-owned hospitals are circumventing ObamaCare -  http://t.co/a9m1AmTTWG,doctorowned hospitals circumventing obamacare,Non-Medical
25191," ill putchu inda hospital, lay ya up fa weeks! have yu breathinn out a tube, yu fckinn fool.",ill putchu inda hospital lay ya fa weeks yu breathinn tube yu fckinn fool,Non-Medical
25194, @rachaelmilnexo one where they work on the hospital radio,hospital radio,Non-Medical
25200, Yay for going to the doctor right?!,yay doctor,Non-Medical
25201, My medical choice - brave  http://t.co/cm836Bvv8y,medical choice brave,Non-Medical
25203, Since my luck is fucking awesome to the hospital I go....,luck fucking awesome hospital,Non-Medical
25205, Wouldn't mind being dressed like doctor who for ROA,mind dressed doctor roa,Non-Medical
25207, my doctor put me on steriods.....yay lmao O.o,doctor steriodsyay lmao oo,Non-Medical
25208, Seasons 5-7 of Doctor Who are honestly the best TV seasons of anything I've ever watched. #whovian #DoctorWho,seasons doctor honestly tv seasons watched #whovian #doctorwho,Non-Medical
25209, Tutoring at Children's Hospital. Can't wait to go home and eat dinner. @owensrules @TeamBVB4eva  when is Mexican? I'm ready!,tutoring childrens hospital ca wait home eat dinner mexican ready,Non-Medical
25210, I don't understand it whenever the Doctor drives somewhere just a little bit too late; he has a TIME MACHINE?,understand whenever doctor drives little bit late time machine,Non-Medical
25212, @theHindude started out in scarborough general hospital now we here,started scarborough hospital,Non-Medical
25213, #Tempe Drunk ASU student left at hospital with Post-it note http://t.co/PnFWLgrYd3,#tempe drunk asu student left hospital postit note,Non-Medical
25214, @Twin_Eric *holds you close and helps you use your inhailer. Sighs* I knew one of you were to get my medical issues...,holds close helps inhailer sighs medical issues,Non-Medical
25215, someone come to my house and take me hospital i think im gonna diee,house hospital im gonna diee,Non-Medical
25218, 'My medical choice'; wow. http://t.co/fcBScnAUUB,amy medical choice wow,Non-Medical
25219, @paul_bowler You should.  The 8th Doctor ones are pretty good. Yo could listen to those and review them for 8th Doctor month in August,doctor ones pretty yo listen review doctor month august,Non-Medical
25220, @Wern_r @OsricChau @AMPfitdotca dude! How can you not like Doctor Who?! The writer for Sherlock also is the writer for Doctor Who!!!,dude doctor writer sherlock writer doctor,Non-Medical
25221," Ich liebe die Weeping Angels! &lt;3 (watching Doctor Who, The Angels Take Manhattan S07E05) http://t.co/wOFbZ26Qw3 #DoctorWho",ich liebe die weeping angels lt3 watching doctor angels manhattan s07e05 #doctorwho,Non-Medical
25223," My doctor told me once, she has protective sex. I asked if she was married, she replied \25 years\"". SHIEEEET",doctor told protective sex married replied shieeeet defeats purpose,Non-Medical
25224," Chile dis doctor said \y dnt u just find a man like Obama?\"" Smh dats hilarious!""",chile dis doctor dnt obama smh dats hilarious,Non-Medical
25226, [Back to Male DOCTOR!],male doctor,Non-Medical
25227, Roflmao!  #medstudentlife #medstudent #medschool #exams #uni #doctor #surgeon #physician #osce http://t.co/bo9FN3X42u,roflmao #medstudentlife #medstudent #medschool #exams #uni #doctor #surgeon #physician #osce,Non-Medical
25228, Doctor says i need shots today.. joy,doctor shots joy,Non-Medical
25230," I think, if I apply myself after the hospital tomorrow I can be finished! Foh REALZ. With 3 weeks to the deadline. NICE.",apply hospital tomorrow finished foh realz weeks deadline nice,Non-Medical
25233, Verdict reached in murder trial of abortion doctor Kermit Gosnell http://t.co/ud3SuKFpgP,verdict reached murder trial abortion doctor kermit gosnell,Non-Medical
25234, So I might have a hernia after all.. Gotta go to the doctor smh,hernia gotta doctor smh,Non-Medical
25238," I'm old school, @scottsigler: \Time to play with the sonic screwdriver. Who wants to play Doctor? WHO??\""""",school time play sonic screwdriver play doctor,Non-Medical
25240, My Medical Choice http://t.co/FbXEHax5xx,medical choice,Non-Medical
25241, @hartleyyy guess I need that doctor then,guess doctor,Non-Medical
25243, http://t.co/3MNocPux2q from the Doctor Who News App http://t.co/vMD11tq7VW,doctor news app,Non-Medical
25244, #AngelinaJolie United States are unable to afford the medical insurance to pay because of the nature of the American Health system.,#angelinajolie united unable afford medical insurance pay nature american health system,Non-Medical
25246, Hospital in the mornen,hospital mornen,Non-Medical
25248, So excited for Doctor who Finale http://t.co/9kjUzDuzMN,excited doctor finale,Non-Medical
25249, @TashaGilmartin a 55 year old guy jumped/fell from the top floor on buchanan galleries at the foodcourt...died in hospital! Horrible! :(,guy jumpedfell top floor buchanan galleries foodcourtdied hospital horrible,Non-Medical
25251, I want to go to the hospital,hospital,Non-Medical
25253, I think a little boy had the hospital room im in. http://t.co/S5hvQaSfQJ,little boy hospital im,Non-Medical
25255," Doctor to Danny boy, Doctor to Danny boy, destroy the ship! Over. #doctorwho",doctor danny boy doctor danny boy destroy ship #doctorwho,Non-Medical
25256," When I say \Doctor Octopus IS Spider-Man\"" to people that don't read comics",doctor octopus spiderman people read comics immediately,Non-Medical
25257, I unlocked the Doctor Who Countdown to the Season Finale: 4 Days sticker on #GetGlue! http://t.co/eTy4hufTmM,unlocked doctor countdown season finale days sticker #getglue,Non-Medical
25258, Top Pay Super Jobs $ Pharmacy Coordinator - Hospital Pharmacy and Supervisor experience required (00144-5837) ...  http://t.co/ihMjqizexD,top pay super jobs pharmacy coordinator hospital pharmacy supervisor experience required,Non-Medical
25259, Top Pay Super Jobs $ Materials Management Supervisor - Kindred Hospital Chicago at Kindred Hospitals (Illinois)  http://t.co/ihMjqizexD,top pay super jobs materials management supervisor kindred hospital chicago kindred hospitals illinois,Non-Medical
25262," I cut my toe , lol and my personal Doctor patched me back up ??",cut toe lol personal doctor patched,Non-Medical
25263," [and after doing some worky shit after school, he goes to the hospital and finds @CastielNovak2, knocking on the door to his room]",worky shit school goes hospital knocking door,Non-Medical
25266, Watch me burn in this hospital for souls~,watch burn hospital souls,Non-Medical
25267, @beccnicholls why are you in the hospital :(,hospital,Non-Medical
25268, Convicted Pa. abortion doctor gets life in prison http://t.co/XakHGFkBbR,convicted pa abortion doctor life prison,Non-Medical
25271," Search Clinics Job$ Physical Therapy - Hospital Setting - Inpatient Acute at Therex (Westminster, CO)  http://t.co/k39SBwmYU2",search clinics job physical therapy hospital setting inpatient acute therex westminster,Non-Medical
25273, karen gillan doctor who - Google Search http://t.co/8CCIsepJ19,karen gillan doctor google search,Non-Medical
25275," *** Business Office Director Opportunity for a Regional Health Center – 300+ Bed Specialty Hospital in MI, crutland@mriglobalhealthcarefina…",business office director opportunity regional health center – bed specialty hospital mi crutlandiiidddiiidddmriglobalhealthcarefina…,Non-Medical
25279, I seriously need to go to the doctor..,seriously doctor,Non-Medical
25282," RT @MissJazziMG: @SaveDWC well I got this ... http://t.co/ZSamFbmlJH &lt; Try \Who is the Doctor\""""",lt try doctor,Non-Medical
25284, This is quite wonderful. They Might Be Giants' Insect Hospital. http://t.co/0nvKt5IAtr,wonderful giants insect hospital,Non-Medical
25287, The medicine my doctor prescribed is some fucking shit .,medicine doctor prescribed fucking shit,Non-Medical
25288," Local Entrepreneur Showcase is up next at @SARTA_tech MedTech event. Over 100 medical tech companies in the region, many of them startups. place <tweepy.models.Place object at 0x0292C370> coordinates {u'type': u'Point', u'coordinates': [-121.45734969, 38.59392752]}",local entrepreneur showcase medtech event medical tech companies region startups,Non-Medical
25290, Doctor Who - Name of the Doctor Leaked: http://t.co/8YapMbsucl via @YouTube,doctor name doctor leaked via,Non-Medical
25291, #AUSTRALIA: Retired doctors who np maintain medical knowledge lose their rights to prescriptions | http://t.co/wBKdQFT7Fu | c #HEALTH |,#australia retired doctors np maintain medical knowledge lose rights prescriptions #health,Non-Medical
25294, Convicted Pa. abortion doctor gets life in prison: Dr. Kermit Gosnell was convicted Monday of first-degree mur... http://t.co/nMcFR6Ucc7,convicted pa abortion doctor life prison dr kermit gosnell convicted monday firstdegree mur,Non-Medical
25295, I unlocked the Doctor Who Countdown to the Season Finale: 4 Days sticker on #GetGlue! http://t.co/l47PDS618P,unlocked doctor countdown season finale days sticker #getglue,Non-Medical
25297, MOTHER OF GOD HELENA IS THE 12TH DOCTOR IM CRWOISLJDEREAMING THIS IS IWOOWOWOW,mother god helena doctor im crwoisljdereaming iwoowowow,Non-Medical
25299, @ThatFunGirlKari just take all the time you need to rest on that ... What did the doctor say ?,time rest doctor,Non-Medical
25301," At the Monroe County legislature where tonight lawmakers will vote to approve  appointments to the Monroe Community Hospital advisory board place <tweepy.models.Place object at 0x0291F6B0> coordinates {u'type': u'Point', u'coordinates': [-77.61327336, 43.15505197]}",monroe county legislature tonight lawmakers vote approve appointments monroe community hospital advisory board,Non-Medical
25303," Go to the doctor and it turns out to be more like some spa with a steam shower, herbal soaps and yummy snacks. Defs not minding it so much",doctor spa steam shower herbal soaps yummy snacks defs minding,Non-Medical
25305, @MrsGirlsLikeMe gotta have the money right? Is the surgery a covered medical necessity?,gotta money surgery covered medical necessity,Non-Medical
25306, Convicted Pennsylvania abortion doctor gets life in prison http://t.co/KkojKS03SH,convicted pennsylvania abortion doctor life prison,Non-Medical
25308, At the doctor. Nope my knee isn't messed up...,doctor nope knee messed,Non-Medical
25309," @UnionJworld Would your ideal girl happen to like kinda geeky stuff like Big Bang Theory, Star Trek, Lord of the Rings, Doctor Who etc. ? :P",ideal girl happen kinda geeky stuff bang theory star trek lord rings doctor etc,Non-Medical
25310, I'm not entering any competitions.. I'm going to be a doctor who wears a big white coat that'll hide my curves.,entering competitions doctor wears white coat thatll hide curves,Non-Medical
25311," @stoya and, that's why he's a Doctor!",thats hes doctor,Non-Medical
25312, When I try to explain doctor who to my friends http://t.co/7dfEsZynBq,try explain doctor friends,Non-Medical
25317, I think this medicine got me on some other stuff have to talk to my doctor lol,medicine stuff talk doctor lol,Non-Medical
25320," @georgiecloke quagmire was chokr Wanking while watching clown porn,now he's in hospital xd",quagmire chokr wanking watching clown pornnow hes hospital xd,Non-Medical
25321, On that hospital status. https://t.co/FYf0EXUBx8,hospital httpstcofyf0exubx8,Non-Medical
25323, Follow @cultboxtv and RT for a chance to win one of 3 x 'Who-ology: Doctor Who Miscellany' books - Info: http://t.co/vDWF7MlibP #OlogyCB,follow chance win whoology doctor miscellany books info #ologycb,Non-Medical
25328," @LaurenSnyder9 doctor you, feed you, clothe you, are you sure I didn't birth you? Haha #youreadopted",doctor feed clothe birth haha #youreadopted,Non-Medical
25330, One of the most worrying things is that when I went I was in hospital for the same thing - dehydration. I was fine after an hour..,worrying hospital dehydration fine hour,Non-Medical
25334," - into her brain. Even though she had met the Doctor and seen so many impossible things with him, she still looked back on those days -",brain met doctor seen impossible looked days,Non-Medical
25336, will do doctor,doctor,Non-Medical
25338, @katelinsanchez the doctor.......... Where are you,doctor,Non-Medical
25340, I'm at the hospital to get some SHOTS SHOTS SHOTS SHOTS SHOTS SHOTS EVERYBODY!!!! #ImNotExcited,hospital shots shots shots shots shots shots #imnotexcited,Non-Medical
25341," Boy, I definitely screwed up with the doctor today.",boy definitely screwed doctor,Non-Medical
25345, Oh yes molds moved to tomorrow and eye doctor appointment today yeppeeee,oh molds moved tomorrow eye doctor appointment yeppeeee,Non-Medical
25346, @thebeckystar @jaseten l m a o don't worry Doctor O.Jim will scare them away. ;p,worry doctor ojim scare,Non-Medical
25347," @i_is_cara I was hoping for the same, except replace hospital with pool,",hoping except replace hospital pool,Non-Medical
25348, Going to the hospital,hospital,Non-Medical
25349, Take this down bru“@This_Niqqah: Just me and my bruddah in the house. Momma in the hospital.”,bruiiidddiiidddthisniqqah bruddah house momma hospital,Non-Medical
25350," @finalDeterrence Doctor, you mentioned the ration of 10 women to each man.",doctor mentioned ration women,Non-Medical
25351, Well i might be going to the hospital depending on if the pain and swelling goes down... It hurts... It really hurts guys. When your ben ...,hospital depending pain swelling goes hurts hurts guys ben,Non-Medical
25356, No death penalty for abortion doctor http://t.co/W42uHnTN8F,death penalty abortion doctor,Non-Medical
25359, $RMTI: Rockwell Medical Tech. announces proposed public offering of common stock; size not disclosed http://t.co/tp4lGrA12g,rmti rockwell medical tech announces proposed public offering common stock size disclosed,Non-Medical
25360, @AshlynDawnn GOD DAMN DOCTOR WHO THATS WHAT,god damn doctor thats,Non-Medical
25361, Otw to thwart hospital for my Cuz smh perrine always got some shit going,otw thwart hospital cuz smh perrine shit,Non-Medical
25362," Pollution and heart attacks: Researchers at the Beth Deaconess Medical Centre in Boston, USA, have revealed a ... http://t.co/bhp5I0TwLG",pollution heart attacks researchers beth deaconess medical centre boston usa revealed,Non-Medical
25363, Doctor who scares me ffs,doctor scares ffs,Non-Medical
25364," Cpl mnths ago I was given the opportunity to volunteer at George Mark House Children's Hospital, it was a true eye opener",cpl mnths ago opportunity volunteer george mark house childrens hospital true eye opener,Non-Medical
25367, Doctor who is just so emotional :'),doctor emotional,Non-Medical
25370, Being  in the hospital blows ....hopefully blood pressure regulates and home tomorrow,hospital blows hopefully blood pressure regulates home tomorrow,Non-Medical
25371, @careens_ i will if it's still like that tomorrow because i'm at work and the hospital doesn't have a doctor at it right now,tomorrow hospital doctor,Non-Medical
25374, @daniellejoon I would have had to go to the hospital.,hospital,Non-Medical
25375, - in the kitchen and thought them magic. But she had a different definition of magic now. The Doctor claimed that he could -,kitchen magic definition magic doctor claimed,Non-Medical
25380," @TOTALCARNAGEUK um what do you mean? I was talking to him 2 days ago n he said his sister was in hospital. Confused, hope he will be okay x",um mean talking days ago sister hospital confused hope okay,Non-Medical
25381, @MumsnetTowers please RT this video of our work in Bristol Children's Hospital &amp; appeal for funds for us to continue http://t.co/xXoXhETAHi,please video bristol childrens hospital appeal funds continue,Non-Medical
25383," k michelle doctor said \have you tried E harmony?\"" ??????""",michelle doctor tried harmony,Non-Medical
25384," @jessica_georgee they get more severe when I do stuff like that, but there's always some kind of pain. The doctor says it's normal. It's not",severe stuff theres pain doctor normal,Non-Medical
25385, Fuck every doctor I ever saw in Savannah for never sending claims to my insurance so that I'm getting billed right now. I HATE YOU ALL.,fuck doctor savannah sending claims insurance getting billed hate,Non-Medical
25386, Training. Then hospital shift this afternoon. *shrugs* Will be busy. *waves* Ja na.,training hospital shift afternoon shrugs busy waves ja na,Non-Medical
25387, realizing that a good part of your family is a first responder or works at a hospital..Pretty neat! Carrying on the tradition soon!!,realizing family responder hospitalpretty neat carrying tradition soon,Non-Medical
25392," Life in prison for Kermit Gosnell, abortion doctor convicted of murder.  http://t.co/6QLwl1AqyR via @cnnbrk",life prison kermit gosnell abortion doctor convicted murder via,Non-Medical
25395, Shumpert Seeing Doctor About Sore Left Knee http://t.co/I31lNDPxDw,shumpert seeing doctor sore left knee,Non-Medical
25402, let me stop before he kick my ass from the hospital,stop kick ass hospital,Non-Medical
25405, I don't know why I get so scared about going to the doctors because my doctor is so lovely,scared doctors doctor lovely,Non-Medical
25410, Someone just sneezed on the other side of the doctor's office and I heard it holy shit hahahahahahahahahaha,sneezed doctors office heard holy shit hahahahahahahahahaha,Non-Medical
25411," I promise in going to cry when I get to the hospital, ugh I'm a pussy.",promise cry hospital ugh pussy,Non-Medical
25412, I unlocked the Doctor Who Countdown to the Season Finale: 4 Days sticker on #GetGlue! http://t.co/VwwYoRzUbH,unlocked doctor countdown season finale days sticker #getglue,Non-Medical
25413, \He's still alive,hes alive gotta hospital yeah okay watch rest clown porn,Non-Medical
25414, Daddy talking about I should go back to the hospital. Chupz,daddy talking hospital chupz,Non-Medical
25416," “@FOX19: ASU student left at hospital with Post-it note, BAC of 0.47 percent http://t.co/BG9RjktHet” YOLO!",asu student left hospital postit note bac percent yolo,Non-Medical
25418, Niggas say they wanna be a female doctor . Hope they dumbass know its a reason why the come to get checked out . Pervs ',niggas wanna female doctor hope dumbass reason checked pervs,Non-Medical
25427, Sitting in hospital with my daughter waiting on.treatment n steroids  #AsthmaKids,sitting hospital daughter waiting ontreatment steroids #asthmakids,Non-Medical
25428," No single person, incl. the POTUS, should ever be given the power to make medical decisions for potentially millions of Americans #RonPaul",single person incl potus power medical decisions potentially millions americans #ronpaul,Non-Medical
25429," Once in your life you need a doctor, policeman, and preacher. But everyday, three times a day, you need a farmer.",life doctor policeman preacher everyday times day farmer,Non-Medical
25430, me: I'm dying.  doctor: well we can't do anything until you're actually dead so go home. #mylife,dying doctor ca actually dead home #mylife,Non-Medical
25433, Just left the doctor.,left doctor,Non-Medical
25436, @DavidBaker28 some girls fought at Middleburg &amp; one girl had to go to the hospital &amp; the other girl got expelled,girls fought middleburg girl hospital girl expelled,Non-Medical
25437, Watching the game from the Barry's Bay hospital with Gram ? #GoSenGo #peskysens,watching game barrys bay hospital gram #gosengo #peskysens,Non-Medical
25438, @davidxsharpe idk the only reason we have to go to the doctor is because we were there breathing it in for hours,idk reason doctor breathing hours,Non-Medical
25440," In Miami, more hospital prices may see light of day http://t.co/SQFG2AC5XO",miami hospital prices light day,Non-Medical
25441," @PaulWhelton_ 2. Deffo more pay man *16,000 is less than half of the starting salary for new doctors at a hospital http://t.co/OD3GTqN23P",deffo pay half starting salary doctors hospital,Non-Medical
25443, Had an exam then had a orthdadontiay app in hospital thn had 2 xraus and thn pictures took for my teeth then back to the orthadontist,exam orthdadontiay app hospital thn xraus thn pictures teeth orthadontist,Non-Medical
25445," When asked who should be cast in a special 50th anniversary episode of 'Doctor Who', Matt Smith said Jennifer Lawrence!",cast special anniversary episode doctor matt smith jennifer lawrence,Non-Medical
25448," My Medical Choice http://t.co/pilT5NeDg4""",medical choice,Non-Medical
25450," RT @JenMarsh2: Our medical language needs to change, dying is not Failure. TED Talk 2013 http://t.co/oVItWYvWB3 #eol #hpm",medical language change dying failure ted talk #eol #hpm,Non-Medical
25451, K. Michelle's doctor said did she go on EHarmony,michelles doctor eharmony,Non-Medical
25454, I'm watching General Hospital (214 are watching) http://t.co/VnFtiNFxEo #GetGlue @GeneralHospital,watching hospital watching #getglue,Non-Medical
25457, \@CNN: Abortion doctor convicted of murder waives right to appeal,abortion doctor convicted murder waives appeal sentenced life prison people messed,Non-Medical
25459, @d_vinita at the hospital?:O,hospitalo,Non-Medical
25460, My grandpa and my mom arguing is beyond annoying. #shutup #hospital #smallroom #atlanta,grandpa mom arguing beyond annoying #shutup #hospital #smallroom #atlanta,Non-Medical
25462, American Medical Association is considering labels on genetically engineered food. http://t.co/iYHOdGycNW #MarchAgainstMonsanto,american medical association considering labels genetically engineered food #marchagainstmonsanto,Non-Medical
25463, Just Left The Hospital Really Wish Somebody Would Bring Me Some Food.,left hospital wish bring food,Non-Medical
25464," Catch me rolling up some medical This shit it look like vegetables I'm on that gas, I call it Texaco I'm on that Cali not that Mexico",catch rolling medical shit look vegetables gas call texaco cali mexico,Non-Medical
25466, Be or not to be 11th doctor ?  #drwho http://t.co/tKQcVrZ4pL,doctor #drwho,Non-Medical
25470, @Benjamin12349 I say so but my mom won't let me leave the doctor now,mom wo leave doctor,Non-Medical
25472," I told my mommiiee that when it's time for me to go to the hospital, while I'm there, and when I leave I gotta look good.! Lol",told mommiiee time hospital leave gotta look lol,Non-Medical
25474," going to the doctor, hopefully its nothing badd",doctor hopefully badd,Non-Medical
25475, On my way to Pepin Heart Hospital...I've been here too much over the years....,pepin heart hospitali,Non-Medical
25477, Lawyer: Pa. abortion doc accepts guilty verdict http://t.co/7053ubSXnC I did my research on this SOB! I HOPE HE BURNS IN HELL,lawyer pa abortion doc accepts guilty verdict research sob hope burns hell,Non-Medical
25478, Drunk Arizona frat brother dropped off at hospital with sticky note http://t.co/x7fMoWJPMV,drunk arizona frat brother dropped hospital sticky note,Non-Medical
25479, Oh I forgot to post update #3.... I was too busy adding another good medical update to my list! I am on a roll and... http://t.co/vBnjlxKA1y,oh forgot post update #3 busy adding medical update list roll,Non-Medical
25480, Omg im stil at the eye doctor. My appointment was at 4 and i havent even been put into a room yet #HurryUp!!,omg im stil eye doctor appointment havent #hurryup,Non-Medical
25484, Convicted Pa. abortion doctor gets life in prison - Yahoo! News http://t.co/wBk3Z2TyBB via @YahooNews,convicted pa abortion doctor life prison yahoo news via,Non-Medical
25485, The bridge at midnight trembles  The country doctor rambles  Bankers’ nieces seek perfection  Expecting all the gifts that wise men bring I,bridge midnight trembles country doctor rambles bankers’ nieces seek perfection expecting gifts wise bring,Non-Medical
25486, @lorthael awww yes. Seeing David as the Doctor is surely going to be interesting,awww seeing david doctor surely,Non-Medical
